sub,rPPC_spaceloc,rAPC_spaceloc,lPPC_spaceloc,lAPC_spaceloc,lAPC_distloc
2001.0,0.3167690694537759,0.3181301589976935,0.3137719926704551,0.3137757227952599,0.287924373774906
2002.0,0.5767100040034425,0.18213771611787835,0.18798364032597953,0.17966957309302747,0.31324225580491866
2003.0,0.5044892037134657,0.46103991043359394,,,0.5292736078331218
2004.0,0.5524625827336535,0.4629243916329284,0.502936042281386,0.25748485533310933,0.2889787746385363
2005.0,0.4746491866148321,0.2268345192635396,0.39617477092495795,0.35736215572646535,0.2458092551281165
2007.0,0.22988018248379571,0.13556025554927972,0.39881464051377163,0.2857415367845838,0.12599563787482904
2008.0,0.46231678591866954,0.3148825323772651,0.2999075738489748,0.06824329631611842,0.03275761272600196
2012.0,0.42995519891657275,0.3502764760870707,,,0.44221290837015015
2013.0,0.17478112193880452,0.33233698953433655,0.257987675521032,0.2873435105496697,0.388315637939664
2014.0,0.7923064848291115,0.6897992641805156,0.6684138739599669,0.32415978931581013,0.6089020073696583
2015.0,0.4756366997099348,0.19649885660326807,0.6296554310032206,0.33130845194400266,0.5137138797836865
2016.0,0.6493337315654832,0.29198685457554935,0.4741607148192131,0.4741588996827833,0.48440484117796506
