sub,rPPC_spaceloc,rAPC_spaceloc,lAPC_distloc
2001.0,-0.502009550589123,-0.6138212280705634,-0.5704046029398261
2002.0,-0.6173728888916488,-0.6716815230243689,-0.7041818350598524
2003.0,-0.31549232288348955,-0.15028202143396868,-0.5976404866850151
2004.0,-0.2880286249763577,-0.271248001332496,-0.03391899364490938
2005.0,-0.5866653716107237,-0.6249517175928836,-0.5429448035782849
2007.0,-0.1972941116754289,-0.19354968518142374,-0.14467943620720883
2008.0,-0.2431188632263418,-0.2716251809359282,0.05653242464785378
2012.0,-0.38688207179906986,-0.4203379691710688,-0.3479857936445499
2013.0,-0.20012314076763904,-0.24090709110605174,-0.30910490254734113
2014.0,0.36220387693194134,0.5104008292669925,0.4864395691478674
2015.0,-0.1644064362294995,-0.5262164656368179,-0.08636565962036215
2016.0,-0.61579473433444,-0.7417215338697754,-0.5764324086036974
