sub,rPPC_spaceloc,rAPC_spaceloc,lPPC_spaceloc,lAPC_spaceloc,lAPC_distloc
2001.0,0.21530876819403202,0.260616768036249,0.2123319419542121,0.21233208973531362,0.24665719771214464
2002.0,0.7082721201131762,0.21212154477119616,0.2071998864885655,0.17029295306471195,0.3237710282386888
2003.0,0.4358335339746159,0.3757334396650046,,,0.5063498651942875
2004.0,0.47128957844017355,0.3772773898020186,0.27744641436343936,0.16953386710548926,0.19773315249847062
2005.0,0.6773744335185823,0.2735186691023652,0.4209442945057554,0.38102704434491835,0.2723475940764469
2007.0,0.21636093216723665,0.1290632340521433,0.38420594078634407,0.26056692592716707,0.10650291379947112
2008.0,0.34696712849609895,0.21478556458334952,0.18469740736466583,0.029722161038720857,0.029655512835765382
2012.0,0.17740686365614006,0.16726842491050406,,,0.15821124484119922
2013.0,0.17371957676846064,0.41535454699005453,0.2825989247609505,0.3577849694633847,0.36398843082659055
2014.0,0.6126153331762444,0.4966283047730516,0.4999073746705449,0.23493175896442384,0.4544624294860908
2015.0,0.9128190017577064,0.228464073930321,0.6451245340200821,0.30877096012191013,0.5168785149925491
2016.0,0.514980053267466,0.23725936192339953,0.3340619205706385,0.3340613133557028,0.35256208282416357
