sub,rPPC_spaceloc,rPPC_toolloc,rPPC_distloc,rAPC_spaceloc,rAPC_toolloc,rAPC_distloc
2001.0,0.4337430239606296,0.5595779887888032,0.5597910482105017,0.5261685042474482,0.5577802632914686,0.519308753904551
2003.0,0.5499641964033646,0.4831337334432606,0.5813510682657445,0.596511193088696,0.6305114553555502,0.5506921981109434
2004.0,0.6442599201692236,0.44568098691896296,0.6667873306954952,0.6251131744016976,0.4800134188130502,0.6296472480392509
2005.0,0.5311347075636567,0.1602414345015772,0.4541327235349078,0.4523375727511952,0.4189652053673724,
2008.0,0.496305206108939,,0.20023973108976995,0.5406723453523437,,0.2168562757730826
2012.0,0.62324794197684,,0.6262518887325912,0.6345163075851139,,0.6217750006894961
