roi,R,skel_beta,cornet_s_beta,gbj_beta,skel_se,cornet_s_se,gbj_se,skel_beta_ci_low,cornet_s_beta_ci_low,gbj_beta_ci_low,skel_beta_ci_high,cornet_s_beta_ci_high,gbj_beta_ci_high
lPPC_spaceloc,0.020009320872847014,0.051138500077760725,0.10612544715597422,-0.014569609997735537,0.08100867830937587,0.07332462228948591,0.05853661665193223,-0.10762627191284468,-0.03425152639922138,-0.13171195271444935,0.21185577944087922,0.25021357261046073,0.10028868865168028
rPPC_spaceloc,0.07991781768088013,0.24258752504052142,0.03617030318395838,0.04389989361430453,0.07644851472012092,0.076191101960859,0.05637620240341679,0.09514382811878869,-0.11310577174236808,-0.06827778725707785,0.3928618727776129,0.1835724786239082,0.154073410557255
lAPC_spaceloc,0.007851558097132783,0.08558022992963273,0.006272810528092573,-0.005460867450987629,0.08138829204372242,0.0797472351787931,0.05809231414220574,-0.07013231604230723,-0.15010808007167922,-0.12101461307668093,0.24918031802714385,0.1629981670566316,0.108359875313438
rAPC_spaceloc,0.041601131976458205,0.15125959505465972,0.06564742869653006,0.010249053671232057,0.07681283266196204,0.07674462208935058,0.06299632058813652,0.004959179814787643,-0.08418297054633771,-0.11737494527340057,0.301120717064238,0.21842266664226845,0.12948293557322854
lLO_toolloc,0.21923502314161414,0.23405191687325982,0.24762611913299726,0.07813740481730796,0.06528580051661237,0.065242216815662,0.05622037303580176,0.11058866734764015,0.12108886288809238,-0.02996244146396627,0.36603660146855344,0.37428805625628786,0.1882228816720505
rLO_toolloc,0.14531431805201178,0.2536483612740489,0.13693957409449897,0.060952965861570264,0.07682488061494788,0.07827492463935196,0.055496823389726356,0.10520780513880854,-0.02007998696835259,-0.048674715906720616,0.4104500747749589,0.28843604806848927,0.1663437748404938
