sub,rPPC_spaceloc,rPPC_distloc,rPPC_toolloc
1001.0,0.01759455965277446,0.03918692495434375,0.01008387083665544
1002.0,0.008116756968095872,0.01556106031723574,0.004046020453194644
1003.0,0.0065812867164963896,0.03452972901481891,0.0328050673211635
1004.0,0.051978898697227376,0.061305414105158454,0.01477507795019114
1005.0,0.009738803229298397,-0.004897085285042987,-0.0028110342899009813
1006.0,0.016914324680220867,0.014717195032197022,0.010874987035412164
1007.0,-0.006922157757390079,-0.009929209952422075,-0.009775396639492586
1008.0,0.0062925032804984,0.0231560020012387,0.021191332358203682
1009.0,0.02292882153114462,0.017204872208566886,0.007557364007463043
1010.0,0.007615702248514555,0.005444321250729251,0.022653241530081407
1011.0,0.02403760853920815,0.01291859215382244,0.03623689013253435
1012.0,0.056440936593090935,0.017666768694701632,0.003768708385354912
