sub,lLO_toolloc,lPFS_toolloc,lPPC_spaceloc,lAPC_spaceloc,lPPC_depthloc,lAPC_depthloc,lPPC_distloc,lAPC_distloc,lPPC_toolloc,lAPC_toolloc,rLO_toolloc,rPFS_toolloc,rPPC_spaceloc,rAPC_spaceloc,rPPC_depthloc,rAPC_depthloc,rPPC_distloc,rAPC_distloc,rPPC_toolloc,rAPC_toolloc
docnet2001,0.32,0.25000000000000006,0.26,0.42000000000000004,0.27999999999999997,0.39,0.23000000000000004,0.2600000000000001,0.18000000000000002,0.11000000000000003,0.02,0.07999999999999999,0.30000000000000004,0.2800000000000001,0.11000000000000001,0.26,0.31000000000000005,0.3000000000000001,0.24000000000000005,0.12000000000000002
docnet2002,0.2800000000000001,0.24000000000000005,0.12000000000000002,0.32,0.23000000000000004,0.2,0.14,0.04,0.29000000000000004,0.32,0.030000000000000006,,0.35,0.21000000000000002,0.06,0.06,0.36000000000000004,0.14,0.16999999999999998,0.10000000000000002
docnet2003,0.22000000000000003,0.41000000000000003,0.31,0.24000000000000007,,0.37000000000000005,,0.21000000000000002,,0.35000000000000003,0.31000000000000005,0.17000000000000004,0.30000000000000004,0.3000000000000001,0.3000000000000001,0.31000000000000005,0.15000000000000005,0.29000000000000004,0.16,0.20000000000000004
docnet2004,0.37999999999999995,0.12000000000000002,0.23000000000000007,0.20000000000000004,0.24000000000000007,0.3,0.21000000000000002,0.33999999999999997,,,0.16,,0.38000000000000006,0.43999999999999995,0.15000000000000005,0.17000000000000004,0.3400000000000001,0.35,0.10000000000000002,0.26000000000000006
docnet2005,0.31000000000000005,0.13000000000000003,0.24000000000000005,0.22000000000000003,0.2,0.2700000000000001,0.14,0.33000000000000007,,0.14,,,0.17000000000000004,0.13000000000000003,0.1,,0.1,0.2,0.13,0.15000000000000002
docnet2007,0.37000000000000005,0.23000000000000004,0.1,0.25000000000000006,0.35,0.41000000000000003,0.25,0.39,,0.19,0.16999999999999998,0.33,0.43,0.5900000000000001,0.36000000000000004,0.12,0.35000000000000003,0.33,0.2800000000000001,0.2700000000000001
docnet2008,0.2900000000000001,0.12000000000000002,0.22000000000000006,0.17,0.08,0.16000000000000006,0.06,0.19,,,,,,0.12000000000000002,0.15000000000000002,0.030000000000000006,,,,
docnet2012,0.2700000000000001,0.19,0.17000000000000007,0.23000000000000004,,0.21000000000000005,,0.34000000000000014,,,0.030000000000000006,0.15,0.14,0.05,0.17,0.09,0.06,,0.09,
