stim1,stim2,lLO_toolloc,lPFS_toolloc,lPPC_spaceloc,lAPC_spaceloc,lPPC_depthloc,lPPC_distloc,lAPC_depthloc,lAPC_distloc,lPPC_toolloc,lAPC_toolloc,rLO_toolloc,rPFS_toolloc,rPPC_spaceloc,rAPC_spaceloc,rPPC_depthloc,rPPC_distloc,rAPC_depthloc,rAPC_distloc,rPPC_toolloc,rAPC_toolloc,cornet_s,skel,gbj
boat_1,boat_2,1.086828548,0.916692099,0.754504945,1.163400099,0.887354923,1.210465986,0.989637252,1.160386414,0.911671402,0.991793453,1.155132777,1.044571924,0.968437366,0.96036971,1.188964684,0.923480583,0.923201747,0.974788222,1.199001543,1.080430425,0.10651803,7.332421149,69.998
boat_1,boat_3,0.944546772,0.959051037,1.27662573,1.249569637,0.319425496,1.172009971,0.798537708,1.132678683,1.225859775,1.284087531,0.749684644,1.004615481,0.738332432,1.289223838,0.523267661,0.837769763,0.515326076,1.117716145,1.065402638,1.324632856,0.21638167,9.251794405,81.757
boat_1,boat_4,1.045905921,1.197569245,1.145812127,1.298661158,1.697543353,0.877788554,1.453159038,1.186992176,0.954076132,0.90569586,1.246257766,1.284853573,0.818481766,1.050402856,1.179443202,0.991319059,1.026715373,1.139427876,1.04964342,1.149740996,0.1671851,9.725308651,98.589
boat_1,boat_5,0.892749289,0.951763712,0.945334622,1.039566398,1.448553399,0.964929001,0.994145488,1.112658762,0.841438592,0.791342548,0.532186264,0.776963296,0.764854348,0.692945931,0.870700501,0.707669509,0.891056452,0.940318313,0.599124512,0.762425275,0.23574054,14.65801121,94.136
boat_1,camera_1,1.065390462,1.038233495,0.882025595,0.998265049,1.773987021,0.854092099,1.550052798,1.091703433,1.07717879,1.013009182,1.125414543,1.189463902,1.23959567,1.066379999,1.173769286,0.979999866,1.345584384,1.115318729,1.330124868,1.203107372,0.2953898,38.91392122,125.38
boat_1,camera_2,0.800079538,1.000993769,0.817757533,0.793156864,0.383358531,0.75423231,0.96407583,0.935018799,0.994367078,0.817209645,0.865743399,0.980302104,0.640863014,0.95305227,0.867201431,0.75158155,0.767051583,0.861744468,1.234721504,0.841165353,0.2470344,26.14409404,93.383
boat_1,camera_3,1.034667376,0.891670521,1.165150359,1.135310834,0.804419358,1.109637588,0.67399008,1.081139748,0.818269098,0.761660657,0.984452566,0.944274388,1.119598358,1.014768373,1.30582635,0.811968421,1.090166393,1.091815225,0.888130179,1.188669016,0.288361,21.27905691,93.421
boat_1,camera_4,0.908990874,0.874158785,1.252342615,1.162797811,1.106004229,0.755422756,0.773092521,0.846816,0.785854387,0.871718403,0.978853851,1.069826735,0.813038483,1.050857262,1.549430973,1.046931115,1.180019044,0.750992484,0.784269598,0.896520166,0.29862726,26.63641554,94.316
boat_1,camera_5,1.023745729,1.121014987,0.966150227,0.982301916,1.768464912,1.220823536,0.955547267,1.121865397,0.76145973,0.960157517,1.164396689,1.256933038,0.964292155,1.161406508,0.827395578,0.841756371,1.002279214,0.919284799,0.879315294,1.023155218,0.2788639,15.53607492,121.04
boat_1,car_1,0.968514633,0.846420913,1.198397943,0.914912347,1.206355841,0.909538189,1.078703065,0.970523507,0.939798913,1.110400103,1.102164554,1.046658349,0.67986055,0.804737469,1.145676383,0.870749147,0.94397695,0.969106393,1.050194038,0.9952542,0.23502505,13.35839481,100.12
boat_1,car_2,1.200381524,0.998937987,1.30309631,1.257571841,1.731323966,1.006450659,0.993056919,1.05705866,1.060466384,1.271984567,0.804695029,0.857750817,0.800656961,0.858076951,0.738870222,0.998578005,1.191228938,0.98716621,0.929396977,0.866525253,0.2474765,13.14346451,90.397
boat_1,car_3,1.143679671,0.963285474,1.349205762,1.340168346,0.506383923,1.115905899,1.234871713,1.304429849,1.162177669,1.248805267,1.231700479,1.163074896,1.166546481,1.214545712,1.257308078,0.910271691,1.056658778,1.020026781,1.223987524,1.254270915,0.20666444,11.89656577,124.08
boat_1,car_4,1.20774931,0.983353056,1.016987453,1.024479767,1.362932311,1.123061466,1.029737569,0.802754236,1.138241124,0.925037168,1.326208531,1.039303455,0.999414814,0.840494746,0.531461948,0.684336945,0.93237755,1.006746953,1.100388432,0.889920563,0.1944062,5.455690045,97.373
boat_1,car_5,0.910596658,1.160508622,0.628748514,0.969650975,0.473531032,0.749637727,0.889932997,0.982339462,0.930314188,0.981403031,0.856905593,1.197677278,0.765032223,0.87063734,0.86845871,1.30888621,0.695433702,1.218966327,1.142464961,0.637842621,0.22256434,9.684720119,128.35
boat_1,guitar_1,1.068909181,1.096902309,0.58855531,0.874026063,0.812335039,0.805703408,0.626000002,0.846844379,0.721380636,0.767036666,1.239546186,1.200321582,0.790979629,0.658547422,0.97682574,1.156142877,0.597724321,0.962079271,0.960516119,0.544526373,0.30395186,37.61651546,100.32
boat_1,guitar_2,1.112020304,1.098595849,1.140681644,0.779528968,1.189259468,0.924593835,1.109191252,0.966269511,1.072686448,1.045062289,1.001338056,0.917915351,1.313804089,1.354561119,1.199958279,1.137446082,1.645387783,1.007439536,0.880981922,1.061238452,0.2963256,39.9116014,102.3
boat_1,guitar_3,0.898888849,1.207728344,1.019787663,1.052268853,0.927432939,1.236155089,0.956453015,0.98766363,1.226469513,1.305916703,1.061429177,0.975082527,1.190358361,1.183930117,0.511874369,1.145405588,0.833304536,1.22350349,1.038142034,1.402516527,0.2982455,41.01293324,102.2
boat_1,guitar_4,0.926697119,1.011702332,1.110736777,0.867058528,1.412725285,1.181283549,0.940904961,1.0664604,1.109871951,1.111672794,0.889899311,0.888548913,1.301555284,1.088617351,1.392466674,1.383526202,1.517767778,1.223748697,0.775108629,0.975729357,0.2691457,41.16865316,105.94
boat_1,guitar_5,1.235772767,0.954762728,0.804827518,0.939670216,0.472796217,1.273758677,1.313543733,1.028156925,1.206488948,1.104854877,1.097363714,0.913866366,1.244509839,1.398286699,1.416602879,1.203066636,1.503189895,1.103644944,1.183997077,1.118555914,0.31137425,43.25801649,108.19
boat_1,lamp_1,1.3897572,1.259388295,1.233909902,0.915050672,1.499713787,1.416638385,1.509218307,1.073060496,1.242271464,1.086147355,1.480723806,1.31197107,1.519146834,1.361491162,0.897838787,1.053489599,0.89302573,1.12137376,1.38792936,1.235687059,0.25086653,37.761661,120.85
boat_1,lamp_2,0.899135818,1.32150635,1.040216489,1.08708326,1.578766521,1.007255435,1.06541138,1.085744446,1.374880458,1.29210173,1.076787906,1.06897221,1.471655693,1.182522318,1.200215331,1.438680204,0.940436725,1.255414034,1.011741947,1.383214709,0.2963896,45.21959368,121.95
boat_1,lamp_3,0.82745369,0.97452496,1.012034867,0.732014873,0.363628737,0.873286127,0.726218942,0.915294941,0.761218485,0.849085345,0.959945162,0.967923968,0.928916684,0.724978362,0.678405625,0.66640374,1.009608405,0.622364321,0.759177243,0.721500051,0.3093866,36.87245489,105.21
boat_1,lamp_4,1.174504922,1.286169427,1.108202459,0.981403636,1.033841027,1.011783915,1.282393823,0.974050033,1.264418576,1.216977108,1.16324313,0.996183643,1.29822972,1.141295316,1.369449916,1.310890847,1.312174782,0.99200223,1.232475992,1.128066147,0.2858258,50.01865041,137.3
boat_1,lamp_5,1.053435455,1.172204085,0.982320423,1.430158277,0.238345268,1.041350214,1.156914862,1.36299146,1.299251553,1.255158155,0.859859303,1.090970844,1.226349178,1.147488352,1.443402995,1.435088767,1.179503734,1.441540833,1.482487366,1.364209626,0.3037124,45.77911201,110.67
boat_2,boat_3,0.649519769,0.934644802,0.930159531,0.810218072,0.95211788,0.905177975,0.801405168,1.091142268,0.799441493,1.070624089,0.939642157,1.09938464,1.134198861,0.992751292,1.034112663,0.603696155,0.979908148,0.720104112,0.44580075,0.893509418,0.1359429,10.87846052,80.127
boat_2,boat_4,1.310987779,0.992966341,0.952516547,1.225362775,0.819124338,1.175924046,1.126631722,0.79260404,1.148056282,1.187981198,1.085599413,0.972901538,1.09140983,0.827363203,0.816376297,0.775772843,0.730475725,0.968382229,1.082976069,1.197816593,0.1499765,8.772416352,91.945
boat_2,boat_5,1.033065687,1.077697866,1.289726172,1.3738934,0.808540147,1.324848844,1.38189683,1.484331822,1.215094835,1.327055991,0.988430303,1.054505922,0.911622607,1.141888492,0.675870806,1.016777808,0.89416194,1.225892961,1.463569519,1.168435526,0.1416497,12.33506807,89.076
boat_2,camera_1,1.163862067,1.134677484,0.962937748,1.122705195,1.241134952,1.037805451,1.163375608,1.032812588,0.914184192,0.76542776,1.09826294,0.869539671,0.888520986,0.950565259,1.036559621,0.880929822,0.688997978,1.006532053,0.628002273,0.859376899,0.1977796,40.71365915,137.38
boat_2,camera_2,0.986988668,1.131966732,0.71916088,1.198572775,1.030978239,1.045796825,1.054175738,0.977558721,0.803154938,1.077314826,1.091943083,1.171505725,1.13144815,0.872245829,0.92562086,0.946695118,1.006876719,0.976584666,0.833192723,0.812502308,0.1882281,30.49727949,96.62
boat_2,camera_3,1.108987578,1.141597761,1.21838351,1.119220093,1.259675624,0.722497784,0.826801761,0.985498941,1.14206938,1.075035053,1.076917338,1.126855753,1.211956469,1.05382947,0.837430732,0.946942678,1.315044108,1.001913096,1.276179058,0.881464876,0.2078978,27.06087199,92.166
boat_2,camera_4,1.291902401,1.150188213,1.28264504,1.405450518,1.202743826,1.624031845,0.967016796,1.491338253,1.107148158,1.434802003,1.171506754,1.056420012,1.148302459,0.94839739,0.72966692,1.124285831,0.847101324,0.999802368,1.453159061,1.154592278,0.25041676,29.54832728,90.254
boat_2,camera_5,0.718296453,1.026174401,1.072049885,1.363998057,1.078822746,0.996156604,1.364045004,1.102751484,0.929134455,1.047958534,0.807806534,0.879640949,1.09628622,1.357060178,1.015041084,0.735711701,0.675124976,0.814853308,1.261074623,1.012926854,0.23326874,18.64463545,116.88
