sub,lLO_toolloc,lPFS_toolloc,lPPC_spaceloc,lAPC_spaceloc,lPPC_depthloc,lAPC_depthloc,lPPC_distloc,lAPC_distloc,lPPC_toolloc,lAPC_toolloc,rLO_toolloc,rPFS_toolloc,rPPC_spaceloc,rAPC_spaceloc,rPPC_depthloc,rAPC_depthloc,rPPC_distloc,rAPC_distloc,rPPC_toolloc,rAPC_toolloc
docnet2001,0.305,0.2,0.24,0.22999999999999998,0.21000000000000002,0.05500000000000001,0.255,0.13,0.34,0.27999999999999997,0.24,0.41500000000000004,0.37500000000000006,0.34,0.12500000000000003,0.09000000000000001,0.2750000000000001,0.28500000000000003,0.23499999999999996,0.16
docnet2003,0.28500000000000003,0.28500000000000003,,,,0.215,0.39,0.28,0.13500000000000004,0.15000000000000002,0.4400000000000001,0.275,0.32,0.215,0.33,0.275,0.29,0.365,0.30500000000000005,0.215
docnet2004,0.3550000000000001,0.195,0.21999999999999997,0.205,,0.2,0.39,0.12000000000000002,0.27,0.18000000000000002,0.15000000000000002,0.24,0.21000000000000002,0.24500000000000002,,,0.28,0.21000000000000005,0.45000000000000007,0.21000000000000002
docnet2005,0.2399999999999999,0.275,0.12500000000000003,0.175,,,0.12000000000000002,0.06500000000000002,0.14,0.15500000000000003,0.12000000000000002,0.255,0.22000000000000003,0.23000000000000004,0.145,,0.295,,0.185,0.16500000000000004
docnet2007,0.34500000000000003,0.11499999999999999,0.335,0.23500000000000001,,0.20500000000000002,0.4,0.28,0.285,0.28500000000000003,0.28500000000000003,0.29500000000000004,0.515,0.295,0.19,0.325,0.53,0.195,0.385,0.205
docnet2008,0.34500000000000003,0.15,0.14500000000000002,0.11000000000000001,,,,0.18000000000000002,,,0.16000000000000003,0.28500000000000003,0.165,0.23000000000000004,,,0.12500000000000003,0.10000000000000002,,
docnet2012,0.325,0.15000000000000002,,,,0.08499999999999999,0.19,0.13000000000000003,0.14,0.10500000000000001,0.26000000000000006,0.24,0.25,0.19500000000000003,,0.16,0.05500000000000001,0.11500000000000002,,
