sub,lLOC,lPPC_spaceloc,lAPC_spaceloc,lPPC_depthloc,lAPC_depthloc,lPPC_distloc,lAPC_distloc,lPPC_toolloc,lAPC_toolloc,rLOC,rPPC_spaceloc,rAPC_spaceloc,rPPC_depthloc,rAPC_depthloc,rPPC_distloc,rAPC_distloc,rPPC_toolloc,rAPC_toolloc
docnet2001,0.29,0.42000000000000004,0.425,0.27499999999999997,0.25,0.365,0.29000000000000004,0.28500000000000003,0.305,0.31,0.295,0.3,0.29000000000000004,0.28500000000000003,0.27999999999999997,0.34500000000000003,0.25,0.32999999999999996
docnet2003,0.27999999999999997,,,,0.32,0.37,0.355,0.30000000000000004,0.3,0.41,0.45499999999999996,0.365,0.47000000000000003,0.3850000000000001,0.43,0.4050000000000001,0.45500000000000007,0.41
docnet2004,0.31999999999999995,0.325,0.275,,0.25000000000000006,0.38,0.22999999999999998,0.38500000000000006,0.23000000000000004,0.22000000000000003,0.24000000000000005,0.205,,,0.2,0.195,0.27999999999999997,0.17500000000000002
docnet2005,0.21999999999999997,0.15500000000000003,0.195,,,0.23999999999999994,0.19,0.205,0.20500000000000002,0.16,0.21000000000000002,0.17,0.16999999999999998,,0.16,,0.16999999999999998,0.21000000000000005
docnet2007,0.25999999999999995,0.34500000000000003,0.29500000000000004,,0.21000000000000002,0.32000000000000006,0.27,0.275,0.265,0.32,0.385,0.31,0.325,0.33,0.38499999999999995,0.28500000000000003,0.35,0.32500000000000007
docnet2008,0.19,0.24,0.21000000000000002,,,,0.17500000000000004,,,0.185,0.175,0.155,,,0.15500000000000003,0.11000000000000003,,
docnet2012,0.24500000000000002,,,,0.18,0.26,0.22000000000000003,0.19500000000000003,0.23000000000000004,0.215,0.215,0.23499999999999996,,0.26,0.15500000000000003,0.185,,
