sub,lLOC,lPPC_spaceloc,lAPC_spaceloc,lPPC_depthloc,lAPC_depthloc,lPPC_distloc,lAPC_distloc,lPPC_toolloc,lAPC_toolloc,rLOC,rPPC_spaceloc,rAPC_spaceloc,rPPC_depthloc,rAPC_depthloc,rPPC_distloc,rAPC_distloc,rPPC_toolloc,rAPC_toolloc
docnet2001,0.39,0.41,0.4600000000000001,0.25000000000000006,0.2700000000000001,0.37000000000000005,0.31000000000000005,0.4000000000000001,0.33000000000000007,0.38,0.28,0.38,0.38000000000000006,0.33000000000000007,0.41000000000000003,0.34,0.39,0.29000000000000004
docnet2002,0.22000000000000003,0.35000000000000003,0.39,0.24000000000000005,0.34,0.48,0.2800000000000001,0.32000000000000006,0.32,0.32000000000000006,0.33,0.3000000000000001,0.2900000000000001,,0.25000000000000006,0.24000000000000005,0.38000000000000006,0.2900000000000001
docnet2003,0.28,,,,0.32,0.37,0.22000000000000003,0.3000000000000001,0.35000000000000003,0.42000000000000004,0.5599999999999999,0.35000000000000003,0.51,0.45999999999999996,0.5700000000000001,0.43,0.45999999999999996,0.43000000000000005
docnet2004,0.30000000000000004,0.24000000000000005,0.29000000000000004,,0.15000000000000005,0.41000000000000003,0.22000000000000003,0.41999999999999993,0.26000000000000006,0.17000000000000004,0.31000000000000005,0.22000000000000003,,,0.26,0.2,0.2900000000000001,0.26
docnet2005,0.23000000000000004,0.14,0.16000000000000003,,,0.16,0.18,0.13,0.13000000000000003,0.18000000000000002,0.17,0.1,0.2,,0.24000000000000005,,0.19000000000000003,0.20000000000000004
docnet2007,0.23000000000000004,0.38,0.24000000000000005,,0.23000000000000004,0.41000000000000003,0.24000000000000007,0.33000000000000007,0.24000000000000005,0.38,0.4,0.2800000000000001,0.3100000000000001,0.45,0.48999999999999994,0.32000000000000006,0.41999999999999993,0.35000000000000003
docnet2008,0.26000000000000006,0.19,0.3100000000000001,,,,0.15000000000000005,,,0.21000000000000005,0.21000000000000005,0.07,,,0.12000000000000002,0.1,,
docnet2012,0.23000000000000004,,,,0.20000000000000004,0.24000000000000005,0.26000000000000006,0.19,0.19,0.22000000000000006,0.18000000000000002,0.2700000000000001,,0.17,0.08,0.2,,
