sub,lLOC,lPPC_spaceloc,lAPC_spaceloc,lPPC_depthloc,lAPC_depthloc,lPPC_distloc,lAPC_distloc,lPPC_toolloc,lAPC_toolloc,rLOC,rPPC_spaceloc,rAPC_spaceloc,rPPC_depthloc,rAPC_depthloc,rPPC_distloc,rAPC_distloc,rPPC_toolloc,rAPC_toolloc
docnet2001,0.31,0.39000000000000007,0.40499999999999997,0.25999999999999995,0.17,0.35,0.28500000000000003,0.30000000000000004,0.285,0.29,0.22999999999999998,0.335,0.27,0.275,0.26,0.32500000000000007,0.32499999999999996,0.275
docnet2002,0.24499999999999997,0.36000000000000004,0.30000000000000004,0.365,0.275,0.43,0.28500000000000003,0.32999999999999996,0.25999999999999995,0.32500000000000007,0.34,0.43500000000000005,0.34500000000000003,,0.32999999999999996,0.305,0.365,0.39
docnet2003,0.26,,,,0.355,0.32999999999999996,0.35500000000000004,0.23000000000000004,0.26000000000000006,0.39,0.40499999999999997,0.32999999999999996,0.45999999999999996,0.38000000000000006,0.49000000000000005,0.385,0.44000000000000006,0.375
docnet2004,0.27,0.275,0.21000000000000002,,0.19000000000000003,0.3450000000000001,0.22500000000000003,0.39,0.23500000000000001,0.19,0.2700000000000001,0.195,,,0.28500000000000003,0.16500000000000004,0.34500000000000003,0.165
docnet2005,0.24500000000000002,0.175,0.195,,,0.24000000000000005,0.19,0.13000000000000003,0.2,0.14000000000000004,0.21999999999999997,0.18000000000000002,0.18,,0.17000000000000004,,0.22500000000000003,0.19000000000000003
docnet2007,0.22499999999999992,0.33499999999999996,0.125,,0.175,0.29500000000000004,0.13999999999999999,0.30500000000000005,0.26499999999999996,0.33999999999999997,0.4050000000000001,0.32,0.3350000000000001,0.3,0.44000000000000006,0.31000000000000005,0.41500000000000004,0.26
docnet2008,0.30000000000000004,0.255,0.23999999999999994,,,,0.20999999999999996,,,0.19000000000000003,0.2,0.10500000000000001,,,0.11000000000000001,0.18000000000000002,,
docnet2012,0.225,,,,0.19,0.25,0.215,0.18000000000000002,0.18000000000000002,0.23000000000000004,0.19000000000000003,0.21500000000000002,,0.265,0.165,0.21000000000000002,,
docnet2013,0.21000000000000002,0.20000000000000004,0.16000000000000003,0.22999999999999998,0.19000000000000003,0.31000000000000005,0.21999999999999997,0.20500000000000002,0.19,0.20000000000000004,0.17500000000000004,0.18000000000000002,0.27999999999999997,0.14500000000000002,0.23000000000000004,0.11000000000000001,0.265,
docnet2014,0.30500000000000005,0.315,0.26,,,0.395,0.375,,,0.3,0.5199999999999998,0.31500000000000006,,,0.32000000000000006,0.35000000000000003,,
docnet2015,0.23000000000000004,0.43500000000000005,0.26,0.45499999999999996,0.28500000000000003,0.41000000000000003,0.305,0.4,0.315,0.3000000000000001,0.49000000000000005,0.29000000000000004,0.44000000000000006,0.315,0.445,0.30499999999999994,0.38,0.42000000000000004
docnet2016,0.13,0.21000000000000002,0.15000000000000002,,,0.20000000000000004,0.14,0.17500000000000002,,0.145,0.3,0.125,,,0.225,0.09500000000000001,,
