sub,lLOC,lPPC_spaceloc,lAPC_spaceloc,lPPC_depthloc,lAPC_depthloc,lPPC_distloc,lAPC_distloc,lPPC_toolloc,lAPC_toolloc,rLOC,rPPC_spaceloc,rAPC_spaceloc,rPPC_depthloc,rAPC_depthloc,rPPC_distloc,rAPC_distloc,rPPC_toolloc,rAPC_toolloc
docnet2001,0.36,0.35,0.38,0.21999999999999997,0.215,0.325,0.325,0.31,0.30000000000000004,0.31500000000000006,0.27,0.35500000000000004,0.31000000000000005,0.3550000000000001,0.29000000000000004,0.31500000000000006,0.275,0.29500000000000004
docnet2002,0.195,0.30500000000000005,0.2900000000000001,0.31499999999999995,0.24499999999999997,0.365,0.32,0.30500000000000005,0.295,0.35,0.33000000000000007,0.36,0.325,,0.35500000000000004,0.29,0.36500000000000005,0.325
docnet2003,0.215,,,,0.27499999999999997,0.33999999999999997,0.32499999999999996,0.28500000000000003,0.31500000000000006,0.35000000000000003,0.4,0.33,0.47000000000000003,0.325,0.43500000000000005,0.41000000000000003,0.4149999999999999,0.45
docnet2004,0.30999999999999994,0.27,0.22999999999999998,,0.255,0.31,0.28,0.38500000000000006,0.22999999999999998,0.22000000000000003,0.265,0.20000000000000004,,,0.24499999999999997,0.21000000000000002,0.275,0.21999999999999997
docnet2005,0.22000000000000003,0.17,0.19,,,0.21000000000000002,0.25,0.20000000000000004,0.19,0.13500000000000004,0.18,0.23499999999999996,0.17500000000000004,,0.205,,0.195,0.20500000000000002
docnet2007,0.19500000000000003,0.37000000000000005,0.195,,0.21999999999999997,0.335,0.11500000000000002,0.29500000000000004,0.225,0.395,0.4,0.3,0.345,0.30999999999999994,0.44499999999999995,0.26999999999999996,0.32999999999999996,0.295
docnet2008,0.275,0.23500000000000004,0.21999999999999997,,,,0.18,,,0.13,0.19500000000000003,0.175,,,0.16,0.12000000000000004,,
docnet2012,0.24499999999999997,,,,0.24999999999999994,0.225,0.205,0.21500000000000002,0.23499999999999996,0.265,0.19000000000000003,0.2,,0.24,0.17500000000000002,0.17,,
docnet2013,0.195,0.19,0.18000000000000002,0.22999999999999998,0.2,0.40499999999999997,0.21500000000000002,0.19999999999999998,0.19,0.195,0.14000000000000004,0.19000000000000003,0.24500000000000002,0.16,0.2,0.14000000000000004,0.24499999999999997,
docnet2014,0.305,0.28500000000000003,0.25999999999999995,,,0.3450000000000001,0.32,,,0.335,0.5199999999999999,0.34500000000000003,,,0.33,0.41500000000000004,,
docnet2015,0.225,0.425,0.22999999999999998,0.45499999999999996,0.24500000000000002,0.445,0.265,0.36500000000000005,0.28,0.315,0.4800000000000001,0.35500000000000004,0.37500000000000006,0.305,0.48500000000000004,0.38,0.38,0.33999999999999997
docnet2016,0.165,0.22999999999999998,0.16500000000000004,,,0.16,0.13000000000000003,0.12500000000000003,,0.17500000000000004,0.255,0.13500000000000004,,,0.26,0.13000000000000003,,
